,Locus,m1_16S,m2_16s,m3_16s,m4_hdrB,m5_hdrB,m6_hdrB
1,n1GKGPCAPO_00001,87,10,0,126,0,255
2,n2GKGPCAPO_00002,187,42,28,304,0,575
3,n3GKGPCAPO_00003,144,18,2,110,0,430
4,n4GKGPCAPO_00004,8,0,0,14,0,17
5,n5GKGPCAPO_00005,70,22,2,142,0,270
6,n6GKGPCAPO_00006,54,22,0,96,0,277
7,n7GKGPCAPO_00007,448,50,12,558,12,1121
8,n8GKGPCAPO_00008,342,51,56,462,22,2218
9,n9GKGPCAPO_00009,2013,377,98,2214,46,13864
10,n10GKGPCAPO_00010,1323,292,136,1161,30,9016
11,n11GKGPCAPO_00011,28499,4168,1450,23445,466,111494
12,n12GKGPCAPO_00012,1506,108,34,896,26,6000
13,n13GKGPCAPO_00013,13134,1713,482,11844,270,61203
14,n14GKGPCAPO_00014,8527,1205,330,9994,174,42352
15,n15GKGPCAPO_00015,17340,2689,844,26381,468,91210
16,n16GKGPCAPO_00016,15524,1933,538,15288,366,76778
17,n17GKGPCAPO_00017,24478,2912,1054,25336,572,105278
18,n18GKGPCAPO_00018,110,8,2,53,0,232
19,n19GKGPCAPO_00019,52973,5554,2237,27060,1050,205350
20,n20GKGPCAPO_00020,2837,378,159,2393,76,11303
21,n21GKGPCAPO_00021,14304,2364,1000,8948,142,41457
22,n22GKGPCAPO_00022,276,56,6,353,5,790
23,n23GKGPCAPO_00023,100,32,12,315,3,343
24,n24GKGPCAPO_00024,1522,164,122,1564,50,4468
25,n25GKGPCAPO_00025,1533,250,90,1828,22,5194
26,n26GKGPCAPO_00026,3118,502,252,2823,16,11230
27,n27GKGPCAPO_00027,2235,372,120,2963,16,7264
28,n28GKGPCAPO_00028,2250,222,118,1264,36,8370
29,n29GKGPCAPO_00029,4830,950,382,3364,70,19734
30,n30GKGPCAPO_00030,1952,242,90,1102,18,6441
31,n31GKGPCAPO_00031,7750,772,404,1828,138,22470
32,n32GKGPCAPO_00032,136,18,0,150,0,1289
33,n33GKGPCAPO_00033,18707,4341,816,23000,418,87030
34,n34GKGPCAPO_00034,65641,11844,2958,61534,1646,308171
35,n35GKGPCAPO_00035,33192,4669,1425,34882,852,155924
36,n36GKGPCAPO_00036,35729,7558,1785,71060,924,210365
37,n37GKGPCAPO_00037,32,2,0,4,0,167
38,n38GKGPCAPO_00038,4177,1404,222,16488,153,26434
39,n39GKGPCAPO_00039,20816,4982,1048,40003,659,127427
40,n40GKGPCAPO_00040,22805,4786,1090,31943,584,138345
41,n41GKGPCAPO_00041,9480,1266,576,4333,134,38541
42,n42GKGPCAPO_00042,84126,7982,4114,22171,1010,186319
43,n43GKGPCAPO_00043,52741,5166,2620,12775,478,99917
44,n44GKGPCAPO_00044,79083,8487,4440,36280,1920,411632
45,n45GKGPCAPO_00045,48720,6361,2700,17211,752,187378
46,n46GKGPCAPO_00046,20732,3016,1068,11062,360,68887
47,n47GKGPCAPO_00047,10350,1682,570,3233,140,28838
48,n48GKGPCAPO_00048,68102,9670,3856,33863,804,228489
49,n49GKGPCAPO_00049,791,131,67,739,14,2660
50,n50GKGPCAPO_00050,9033,1225,529,3675,114,29765
51,n51GKGPCAPO_00051,6334,1106,378,8098,138,32938
52,n52GKGPCAPO_00052,9360,1092,504,6305,260,51586
53,n53GKGPCAPO_00053,22582,2710,1088,11074,440,94500
54,n54GKGPCAPO_00054,302570,40430,16822,242361,6554,1578200
55,n55GKGPCAPO_00055,37580,4200,2372,113617,2354,665953
56,n56GKGPCAPO_00056,2051,310,114,6416,218,51956
57,n57GKGPCAPO_00057,9437,1770,688,27814,375,129210
58,n58GKGPCAPO_00058,1548,638,150,12088,99,19712
59,n59GKGPCAPO_00059,6204,794,314,4740,104,26562
60,n60GKGPCAPO_00060,29484,3764,1706,15162,446,112648
61,n61GKGPCAPO_00061,48343,9485,2778,55420,954,216559
62,n62GKGPCAPO_00062,10356,1647,589,10893,244,44000
63,n63GKGPCAPO_00063,23162,3240,1075,20650,506,104744
64,n64GKGPCAPO_00064,8760,1556,860,7056,134,45912
65,n65GKGPCAPO_00065,134617,18943,7213,95345,2368,571623
66,n66GKGPCAPO_00066,29929,3489,1224,17670,586,123122
67,n67GKGPCAPO_00067,139517,23069,8213,111925,2358,612671
68,n68GKGPCAPO_00068,4110,486,336,3134,80,26270
69,n69GKGPCAPO_00069,8886,1136,422,6570,214,44543
70,n70GKGPCAPO_00070,140932,16332,8140,107208,2794,725806
71,n71GKGPCAPO_00071,18075,2248,860,7051,194,56364
72,n72GKGPCAPO_00072,7286,1355,462,5583,114,25916
73,n73GKGPCAPO_00073,13872,3101,1016,14773,160,53127
74,n74GKGPCAPO_00074,8256,1377,473,8200,150,28814
75,n75GKGPCAPO_00075,2382,489,235,2851,26,9662
76,n76GKGPCAPO_00076,3498,446,210,2504,64,13146
77,n77GKGPCAPO_00077,56080,8118,3127,43925,982,210569
78,n78GKGPCAPO_00078,32263,8087,2797,49715,543,137288
79,n79GKGPCAPO_00079,38922,5421,2572,23292,671,151749
80,n80GKGPCAPO_00080,194565,21861,7438,170902,4062,704868
81,n81GKGPCAPO_00081,179632,39443,9990,235936,4446,798510
82,n82GKGPCAPO_00082,189498,43052,10470,307022,3791,844577
83,n83GKGPCAPO_00083,129033,21155,5824,104163,2439,580565
84,n84GKGPCAPO_00084,9147,1081,344,5704,146,38029
85,n85GKGPCAPO_00085,56740,13404,3113,67667,1118,259442
86,n86GKGPCAPO_00086,39759,4940,1540,23818,797,156679
87,n87GKGPCAPO_00087,37049,8184,2006,51554,835,160405
88,n88GKGPCAPO_00088,73507,9965,4499,30376,1286,288960
89,n89GKGPCAPO_00089,14211,1860,717,7080,186,40455
90,n90GKGPCAPO_00090,12311,1770,779,11784,308,39371
91,n91GKGPCAPO_00091,29598,3155,1435,18946,456,101698
92,n92GKGPCAPO_00092,27529,3449,1394,17684,482,104340
93,n93GKGPCAPO_00093,40528,8435,2699,58648,719,169096
94,n94GKGPCAPO_00094,16412,3057,933,17224,321,68398
95,n95GKGPCAPO_00095,14378,2409,990,14562,284,72841
96,n96GKGPCAPO_00096,30048,2833,1524,17400,374,87378
97,n97GKGPCAPO_00097,56716,6496,3341,20600,610,142514
98,n98GKGPCAPO_00098,9239,724,598,3330,74,21687
99,n99GKGPCAPO_00099,11036,1161,830,3640,90,27187
100,n100GKGPCAPO_00100,2960,514,226,3356,80,9244
101,n101GKGPCAPO_00101,6960,838,504,2456,60,19922
102,n102GKGPCAPO_00102,11480,1490,581,5244,69,31880
103,n103GKGPCAPO_00103,7388,1058,255,4560,83,18289
104,n104GKGPCAPO_00104,8208,2048,254,6329,28,22145
105,n105GKGPCAPO_00105,5319,1162,306,5958,42,13843
106,n106GKGPCAPO_00106,9916,1216,503,7055,200,50605
107,n107GKGPCAPO_00107,7940,1119,386,7069,168,40497
108,n108GKGPCAPO_00108,16364,2283,938,7586,302,83834
109,n109GKGPCAPO_00109,17760,2112,886,10930,384,89375
110,n110GKGPCAPO_00110,65325,6908,3858,30506,1234,266421
111,n111GKGPCAPO_00111,784,60,30,253,10,2059
112,n112GKGPCAPO_00112,8140,1042,672,3651,168,24745
113,n113GKGPCAPO_00113,1048,140,122,542,12,5591
114,n114GKGPCAPO_00114,2625,298,142,1112,46,13223
115,n115GKGPCAPO_00115,7736,828,550,6206,182,33253
116,n116GKGPCAPO_00116,7311,987,406,5077,110,31904
117,n117GKGPCAPO_00117,2245,337,102,1187,32,9946
118,n118GKGPCAPO_00118,7346,626,570,3326,118,23718
119,n119GKGPCAPO_00119,26192,2888,982,15923,404,96467
120,n120GKGPCAPO_00120,71425,9238,4333,39217,1310,299213
121,n121GKGPCAPO_00121,33527,3508,1329,15640,534,131380
122,n122GKGPCAPO_00122,5956,683,338,3160,78,20974
123,n123GKGPCAPO_00123,51840,8512,3028,46762,994,235853
124,n124GKGPCAPO_00124,98669,9718,4179,60245,1889,411643
125,n125GKGPCAPO_00125,10434,1829,550,10220,192,45370
126,n126GKGPCAPO_00126,32926,4338,1800,20919,581,137198
127,n127GKGPCAPO_00127,40651,4217,2131,18475,739,154990
128,n128GKGPCAPO_00128,30228,5208,1984,21862,516,114976
129,n129GKGPCAPO_00129,28877,4225,1681,25256,434,149463
130,n130GKGPCAPO_00130,24821,3826,1368,20139,458,130710
131,n131GKGPCAPO_00131,25796,3254,1458,14172,490,133578
132,n132GKGPCAPO_00132,14210,2080,906,11820,354,79291
133,n133GKGPCAPO_00133,30464,4274,1652,20751,700,167962
134,n134GKGPCAPO_00134,33203,4546,1788,18910,614,155728
135,n135GKGPCAPO_00135,9284,1480,484,8540,150,27411
136,n136GKGPCAPO_00136,56,0,16,40,0,86
137,n137GKGPCAPO_00137,332,40,0,108,10,644
138,n138GKGPCAPO_00138,0,0,0,0,0,0
139,n139GKGPCAPO_00139,50,2,2,16,0,181
140,n140GKGPCAPO_00140,36,6,4,10,0,62
141,n141GKGPCAPO_00141,1050,118,44,316,26,3581
142,n142GKGPCAPO_00142,26,20,0,6,0,53
143,n143GKGPCAPO_00143,3634,414,186,2426,61,11207
144,n144GKGPCAPO_00144,4,0,0,0,0,4
145,n145GKGPCAPO_00145,106,10,4,14,4,239
146,n146GKGPCAPO_00146,58,2,4,4,0,52
147,n147GKGPCAPO_00147,24,4,0,4,0,58
148,n148GKGPCAPO_00148,26,4,0,2,0,92
149,n149GKGPCAPO_00149,168,0,24,12,0,178
150,n150GKGPCAPO_00150,108,24,0,4,0,78
151,n151GKGPCAPO_00151,406,24,46,40,0,995
152,n152GKGPCAPO_00152,46,8,0,20,0,66
153,n153GKGPCAPO_00153,42,0,4,48,0,176
154,n154GKGPCAPO_00154,0,0,2,2,0,4
155,n155GKGPCAPO_00155,158,52,2,228,2,689
156,n156GKGPCAPO_00156,50,8,4,36,0,108
157,n157GKGPCAPO_00157,18,6,0,2,0,27
158,n158GKGPCAPO_00158,5694,778,390,1646,36,11604
159,n159GKGPCAPO_00159,3116,576,158,827,18,5113
160,n160GKGPCAPO_00160,1822,356,112,479,32,4098
161,n161GKGPCAPO_00161,2600,458,138,520,8,5404
162,n162GKGPCAPO_00162,1289,168,60,308,4,2480
163,n163GKGPCAPO_00163,1323,218,52,285,20,2567
164,n164GKGPCAPO_00164,920,296,54,589,14,1836
165,n165GKGPCAPO_00165,550,210,48,342,2,1815
166,n166GKGPCAPO_00166,462,132,12,250,0,1334
167,n167GKGPCAPO_00167,1070,186,32,526,4,2967
168,n168GKGPCAPO_00168,626,110,36,464,12,2124
169,n169GKGPCAPO_00169,1602,327,58,1217,26,5374
170,n170GKGPCAPO_00170,858,171,60,755,8,3175
171,n171GKGPCAPO_00171,1562,224,46,708,14,6100
172,n172GKGPCAPO_00172,8924,1276,562,4390,122,34303
173,n173GKGPCAPO_00173,888,88,32,270,10,2860
174,n174GKGPCAPO_00174,1160,104,24,440,6,3438
175,n175GKGPCAPO_00175,2978,390,152,1841,50,10025
176,n176GKGPCAPO_00176,1610,174,142,735,10,4942
177,n177GKGPCAPO_00177,1498,204,88,1072,8,4135
178,n178GKGPCAPO_00178,15140,1876,890,10461,239,70002
179,n179GKGPCAPO_00179,1554,290,48,1493,49,7144
180,n180GKGPCAPO_00180,1726,334,142,2298,40,8652
181,n181GKGPCAPO_00181,16982,2242,1041,9831,282,80827
182,n182GKGPCAPO_00182,4920,434,290,3164,108,18877
183,n183GKGPCAPO_00183,21550,2802,1250,13990,414,88399
184,n184GKGPCAPO_00184,2646,206,200,1054,13,10248
185,n185GKGPCAPO_00185,5227,610,373,3318,103,21789
186,n186GKGPCAPO_00186,1629,153,69,1287,31,6327
187,n187GKGPCAPO_00187,4601,455,228,2367,85,20099
188,n188GKGPCAPO_00188,19069,2454,1240,10900,340,83179
189,n189GKGPCAPO_00189,7193,949,482,4751,104,29907
190,n190GKGPCAPO_00190,2117,285,158,1413,48,8263
191,n191GKGPCAPO_00191,30,4,6,22,0,149
192,n192GKGPCAPO_00192,13312,1318,772,3850,178,37272
193,n193GKGPCAPO_00193,9668,1332,506,5122,206,45351
194,n194GKGPCAPO_00194,492,60,18,254,6,1804
195,n195GKGPCAPO_00195,36713,5846,2100,14951,676,155333
196,n196GKGPCAPO_00196,4452,760,348,2256,70,13434
197,n197GKGPCAPO_00197,28958,3870,1536,18493,488,114787
198,n198GKGPCAPO_00198,103979,13812,5046,54009,1444,348023
199,n199GKGPCAPO_00199,48810,6491,3002,80759,1013,178113
200,n200GKGPCAPO_00200,333428,44575,17222,257707,6302,1422856
201,n201GKGPCAPO_00201,93633,11180,5190,53383,1686,398415
202,n202GKGPCAPO_00202,27364,5150,2072,13800,440,94137
203,n203GKGPCAPO_00203,78029,10378,4954,32874,1248,250718
204,n204GKGPCAPO_00204,32368,3592,1660,14273,482,83521
205,n205GKGPCAPO_00205,68,0,4,12,0,147
206,n206GKGPCAPO_00206,4,0,0,10,0,40
207,n207GKGPCAPO_00207,204,18,12,18,0,458
208,n208GKGPCAPO_00208,96,18,0,22,2,403
209,n209GKGPCAPO_00209,14252,2567,804,9797,236,53803
210,n210GKGPCAPO_00210,10181,1237,338,3707,189,38966
211,n211GKGPCAPO_00211,23742,3583,1027,12181,358,102040
212,n212GKGPCAPO_00212,20739,3435,1047,12274,385,95985
213,n213GKGPCAPO_00213,35072,5090,2268,32686,792,215799
214,n214GKGPCAPO_00214,3792,676,190,9070,183,30187
215,n215GKGPCAPO_00215,2621,370,106,5239,97,24986
216,n216GKGPCAPO_00216,1965,323,84,4192,90,18340
217,n217GKGPCAPO_00217,4142,739,256,9742,168,34248
218,n218GKGPCAPO_00218,1930,325,90,4803,54,16352
219,n219GKGPCAPO_00219,1560,215,62,2148,60,12365
220,n220GKGPCAPO_00220,19595,2250,964,10296,228,68528
221,n221GKGPCAPO_00221,23993,2382,1168,9161,332,111601
222,n222GKGPCAPO_00222,12789,1919,776,12320,234,65751
223,n223GKGPCAPO_00223,21033,1977,1112,9916,438,107950
224,n224GKGPCAPO_00224,10342,1250,572,5903,190,56042
225,n225GKGPCAPO_00225,17126,2128,852,9317,348,88561
226,n226GKGPCAPO_00226,11398,1366,616,6335,189,42378
227,n227GKGPCAPO_00227,8709,1235,401,7334,151,29484
228,n228GKGPCAPO_00228,23445,3013,1250,14293,476,83912
229,n229GKGPCAPO_00229,17089,1711,773,9107,237,58663
230,n230GKGPCAPO_00230,70670,10767,4505,41736,1021,281489
231,n231GKGPCAPO_00231,21736,2530,836,11172,268,68129
232,n232GKGPCAPO_00232,45414,5242,2420,27088,762,160904
233,n233GKGPCAPO_00233,44612,6315,2297,31203,769,145728
234,n234GKGPCAPO_00234,81847,7981,3670,38653,1184,271432
235,n235GKGPCAPO_00235,52030,7256,3096,31440,793,186923
236,n236GKGPCAPO_00236,42374,4467,2436,14801,552,126153
237,n237GKGPCAPO_00237,20876,3370,1471,17774,235,61250
238,n238GKGPCAPO_00238,2742,388,100,1730,50,8178
239,n239GKGPCAPO_00239,190,18,8,68,0,765
240,n240GKGPCAPO_00240,8689,1054,392,7210,162,30870
241,n241GKGPCAPO_00241,1279,220,70,850,16,4315
242,n242GKGPCAPO_00242,50002,4956,3072,28607,874,162973
243,n243GKGPCAPO_00243,47855,7220,2729,41590,849,206775
244,n244GKGPCAPO_00244,109650,14455,6416,81855,1909,472164
245,n245GKGPCAPO_00245,10494,1334,520,7720,180,33064
246,n246GKGPCAPO_00246,91049,6884,3352,71779,2090,262798
247,n247GKGPCAPO_00247,14800,1903,889,5883,238,47746
248,n248GKGPCAPO_00248,28777,4829,1839,29925,508,113864
249,n249GKGPCAPO_00249,13616,2118,866,11103,264,55306
250,n250GKGPCAPO_00250,14059,2084,908,12654,128,42225
251,n251GKGPCAPO_00251,132714,17810,7853,60196,1816,412889
