"","SAMPLE","total_reads"
"1","ERR525692",19218323
"2","ERR525697",22599676
"3","ERR525699",22389273
"4","ERR525706",22544842
"5","ERR525712",26599629
"6","ERR525716",24209204
"7","ERR525720",18427522
"8","ERR525725",18093447
"9","ERR525729",20757331
"10","ERR525733",18785787
"11","ERR525737",19219517
"12","ERR525741",19108706
"13","ERR525746",20557627
"14","ERR525751",20240308
"15","ERR525753",19288965
"16","ERR525757",23535221
"17","ERR525759",21355181
"18","ERR525763",17815530
"19","ERR525771",19585699
"20","ERR525775",23464019
"21","ERR525779",14004216
"22","ERR525787",17919902
"23","ERR525799",14787497
"24","ERR525809",17484976
"25","ERR525813",28114718
"26","ERR525815",20511354
"27","ERR525819",20846260
"28","ERR525823",20757093
"29","ERR525831",17345213
"30","ERR525835",19882849
"31","ERR525839",22341873
"32","ERR525847",19855316
"33","ERR525851",20245603
"34","ERR525855",23299275
"35","ERR525859",22358749
"36","ERR525863",25391829
"37","ERR525867",21799041
"38","ERR525871",27230713
"39","ERR525875",19878014
"40","ERR525879",24307832
"41","ERR525884",18986898
"42","ERR525889",20438348
"43","ERR525893",19312342
"44","ERR525895",21863215
"45","ERR525901",22710477
"46","ERR525903",23353293
"47","ERR525911",18785703
"48","ERR525915",29132184
"49","ERR525919",18858758
"50","ERR525923",26748929
"51","ERR525928",29304317
"52","ERR525931",20150997
"53","ERR525935",27027493
"54","ERR525953",20136747
"55","ERR525955",18608398
"56","ERR525959",22238581
"57","ERR525967",20474905
"58","ERR525971",20815255
"59","ERR525975",18358820
"60","ERR525987",21586808
"61","ERR525991",17754737
"62","ERR525995",21421740
"63","ERR525999",17927576
"64","ERR526003",19667351
"65","ERR526007",23759735
"66","ERR526011",18712247
"67","ERR526015",18818194
"68","ERR526019",17719439
"69","ERR526027",18190395
"70","ERR526035",14979990
"71","ERR526039",17542875
"72","ERR526043",18670133
"73","ERR526047",15042772
"74","ERR526051",18508112
"75","ERR526063",19109093
"76","ERR526067",25049218
"77","ERR526073",16509835
"78","ERR526075",18400932
"79","ERR526079",20640109
"80","ERR526083",16523390
"81","ERR526087",23252489
"82","ERR7738276",90528638
"83","ERR7738514",104536365
"84","ERR7738546",99392741
"85","ERR7738547",109050601
"86","ERR7738549",109442419
"87","ERR7738562",112733702
"88","ERR7738578",119606757
"89","ERR7738597",116668029
"90","ERR7738620",121132666
"91","ERR7738633",126080514
"92","ERR7738665",175440665
"93","ERR7738937",199797093
"94","ERR7737618",8457987
"95","ERR7737623",8436039
"96","ERR7737964",34177367
"97","ERR7737967",42100575
"98","ERR7738144",52576964
"99","ERR7738179",53483006
"100","ERR7738180",47828604
"101","ERR7738181",53449130
"102","ERR7738185",52664457
"103","ERR7738190",59784486
"104","ERR7738192",52411223
"105","ERR7738198",48966143
"106","ERR7738218",58980956
"107","ERR7738224",53910891
"108","ERR7738229",70143255
"109","ERR7738230",47253303
"110","ERR7738233",62478011
"111","ERR7738247",56049427
"112","ERR7738258",81084871
"113","ERR7738259",74828002
"114","ERR7738262",85439811
"115","ERR7738263",76997059
"116","ERR7738265",82187481
"117","ERR7738267",65822015
"118","ERR7738272",84762009
"119","ERR7738273",64319690
"120","ERR7738277",91239860
"121","ERR7738352",91511971
"122","ERR7738353",91023915
"123","ERR7738426",93637328
"124","ERR7738433",95649880
"125","ERR7738447",74981355
"126","ERR7738451",97761486
"127","ERR7738472",96214267
"128","ERR7738493",95722047
"129","ERR7738513",103865108
"130","ERR7738515",99706621
"131","ERR7738527",98208555
"132","ERR7738529",97781133
"133","ERR7738530",93026681
"134","ERR7738532",90119487
"135","ERR7738533",103102288
"136","ERR7738535",105230521
"137","ERR7738537",90373963
"138","ERR7738544",88771790
"139","ERR7738545",103248041
"140","ERR7738548",104090565
"141","ERR7738550",95586867
"142","ERR7738551",114354914
"143","ERR7738553",109042700
"144","ERR7738554",103714196
"145","ERR7738558",109076253
"146","ERR7738560",118419920
"147","ERR7738566",92679415
"148","ERR7738567",103250055
"149","ERR7738570",107559813
"150","ERR7738572",118675413
"151","ERR7738575",110573839
"152","ERR7738622",112551456
"153","ERR7738623",129515618
"154","ERR7738624",139751496
"155","ERR7738630",119696634
"156","ERR7738631",130790644
"157","ERR7738643",134764533
"158","ERR7738645",153314962
"159","ERR7738653",160740203
"160","ERR7738659",152844342
"161","ERR7738660",141703716
"162","ERR7738661",155010507
"163","ERR7738662",173175579
"164","ERR7738938",192458866
"165","ERR7746721",42925784
"166","ERR7746742",49611192
"167","ERR7746785",70892382
"168","ERR7746365",112201283
"169","ERR7746398",105828127
"170","ERR7738581",100695716
"171","ERR7738594",92927958
"172","ERR7738582",112583198
"173","ERR7738579",116584907
"174","ERR7738580",115938816
"175","ERR7738591",115670685
"176","ERR7738592",119044508
"177","ERR7738585",120213958
"178","ERR7738576",99889203
"179","ERR7738583",118483618
"180","ERR7738587",101309424
"181","ERR7738598",114400704
"182","ERR7746688",223154162
"183","ERR7738600",104584540
"184","ERR7738603",119109833
"185","ERR7738606",111695899
"186","ERR7738609",123809370
"187","ERR7738611",120269335
"188","ERR7738616",127925221
"189","ERR7738617",110224473
"190","ERR7738959",192934259
