"","sample","total_reads"
"1","ERR525692",19218323
"2","ERR525697",22599676
"3","ERR525699",22389273
"4","ERR525706",22544842
"5","ERR525712",26599629
"6","ERR525716",24209204
"7","ERR525720",18427522
"8","ERR525725",18093447
"9","ERR525729",20757331
"10","ERR525733",18785787
"11","ERR525737",19219517
"12","ERR525741",19108706
"13","ERR525746",20557627
"14","ERR525751",20240308
"15","ERR525753",19288965
"16","ERR525757",23535221
"17","ERR525759",21355181
"18","ERR525763",17815530
"19","ERR525771",19585699
"20","ERR525775",23464019
"21","ERR525779",14004216
"22","ERR525787",17919902
"23","ERR525799",14787497
"24","ERR525809",17484976
"25","ERR525813",28114718
"26","ERR525815",20511354
"27","ERR525819",20846260
"28","ERR525823",20757093
"29","ERR525831",17345213
"30","ERR525835",19882849
"31","ERR525839",22341873
"32","ERR525847",19855316
"33","ERR525851",20245603
"34","ERR525855",23299275
"35","ERR525859",22358749
"36","ERR525863",25391829
"37","ERR525867",21799041
"38","ERR525871",27230713
"39","ERR525875",19878014
"40","ERR525879",24307832
"41","ERR525884",18986898
"42","ERR525889",20438348
"43","ERR525893",19312342
"44","ERR525895",21863215
"45","ERR525901",22710477
"46","ERR525903",23353293
"47","ERR525911",18785703
"48","ERR525915",29132184
"49","ERR525919",18858758
"50","ERR525923",26748929
"51","ERR525928",29304317
"52","ERR525931",20150997
"53","ERR525935",27027493
"54","ERR525953",20136747
"55","ERR525955",18608398
"56","ERR525959",22238581
"57","ERR525967",20474905
"58","ERR525971",20815255
"59","ERR525975",18358820
"60","ERR525987",21586808
"61","ERR525991",17754737
"62","ERR525995",21421740
"63","ERR525999",17927576
"64","ERR526003",19667351
"65","ERR526007",23759735
"66","ERR526011",18712247
"67","ERR526015",18818194
"68","ERR526019",17719439
"69","ERR526027",18190395
"70","ERR526035",14979990
"71","ERR526039",17542875
"72","ERR526043",18670133
"73","ERR526047",15042772
"74","ERR526051",18508112
"75","ERR526063",19109093
"76","ERR526067",25049218
"77","ERR526073",16509835
"78","ERR526075",18400932
"79","ERR526079",20640109
"80","ERR526083",16523390
"81","ERR526087",23252489
"82","ERR7738276",90528638
"83","ERR7738514",104536365
"84","ERR7738546",99392741
"85","ERR7738547",109050601
"86","ERR7738549",109442419
"87","ERR7738562",112733702
"88","ERR7738578",119606757
"89","ERR7738597",116668029
"90","ERR7738620",121132666
"91","ERR7738633",126080514
"92","ERR7738665",175440665
"93","ERR7738937",199797093
