ID,Species,msk_id
11.45,faecis,MSK.11.45
14.13,faecis,MSK.14.13
18.51,faecis,MSK.18.51
232,faecis,EBT232
14.58,glucerasea,MSK.14.58
20.42,glucerasea,MSK.20.42
21.93,glucerasea,MSK.21.93
6.6,luti,MSK.6.6
9.19,luti,MSK.9.19
13.24,luti,MSK.13.24
13.38,luti,MSK.13.38
13.4,luti,MSK.13.40
15.19,luti,MSK.15.19
16.34,luti,MSK.16.34
17.18,luti,MSK.17.18
19.6,luti,MSK.19.60
22.6,luti,MSK.22.60
96,luti,EBT96
147,luti,EBT147
13.37,obeum,MSK.13.37
14.21,obeum,MSK.14.21
17.81,obeum,MSK.17.81
18.4,obeum,MSK.18.40
20.66,obeum,MSK.20.66
20.67,obeum,MSK.20.67
20.89,obeum,MSK.20.89
159,obeum,EBT159
223,obeum,EBT223
6.16,schinkii,MSK.6.16
6.27,schinkii,MSK.6.27
6.32,schinkii,MSK.6.32
14.32,schinkii,MSK.14.32
15.25,schinkii,MSK.15.25
100,schinkii,EBT100
15.27,wexlerae,MSK.15.27
15.46,wexlerae,MSK.15.46
18.18,wexlerae,MSK.18.18
18.42,wexlerae,MSK.18.42
20.14,wexlerae,MSK.20.14
21.5,wexlerae,MSK.21.50
23.78,wexlerae,MSK.23.78
90,wexlerae,EBT90
153,wexlerae,EBT153
193,wexlerae,EBT193
