"","locus_tag","length_bp"
"1","GKGPCAPO_01428",564
"2","GKGPCAPO_01429",843
"3","GKGPCAPO_01430",1611
"4","GKGPCAPO_01431",666
"5","GKGPCAPO_01432",855
"6","GKGPCAPO_01433",1038
"7","GKGPCAPO_01434",975
"8","GKGPCAPO_01435",444
"9","GKGPCAPO_01436",1989
"10","GKGPCAPO_01437",390
"11","GKGPCAPO_01438",795
"12","E.coli_K12_frdA",1809
"13","E.coli_K12_frdB",681
"14","E.coli_K12_frdC",426
"15","E.coli_K12_frdD",366
"16","B.theta frdA",1548
"17","B.theta frdC",747
"18","B.theta frdB",915
